,tweet_id,created_at,full_text,user_id,tweet_type,retweeted_id
0,1532424298387886083,Thu Jun 02 18:09:58 +0000 2022,Remember that all of these performative outrage clips you're seeing of Republicans today is to protect guns after dozens of Americans were slaughtered in the last two weeks. They're acting angry because instead of saving lives they want to save unfettered access to guns.,16915272,Retweet,1532419493070262272
0,1532424297775517698,Thu Jun 02 18:09:58 +0000 2022,@TheGoodLiars Let him try to go to Africa again to get slaves like his forbears and see if he will live to tell the stories! Meat,894456024282824704,Reply Tweet,
0,1532424297767219200,Thu Jun 02 18:09:58 +0000 2022,"question: who has an ex who, if you were ever to go public with any allegations of abuse, the public would side with them because they’re charming and know how to talk to people? 🤔",2903165267,Retweet,1532120149674889217
0,1532424297674854405,Thu Jun 02 18:09:58 +0000 2022,"Lol at @MattWalshBlog seething because his transphobic ass can't read history books.

Matt: ""I know, I'll interview one person from a tribe in Africa that'll prove I'm right that there's no mention of third gender, trans or enbies in the collective history of...  54 countries.",1582691204,Original Tweet,
0,1532424297658163200,Thu Jun 02 18:09:58 +0000 2022,"We know children in the womb feel pain by 12 weeks. Not only is the intentional death of these children via abortion extremely unjust, but it is also incredibly cruel.",2879635787,Retweet,1531706526825586690
0,1532424297607733249,Thu Jun 02 18:09:58 +0000 2022,Adult life is constantly saying to your friends let’s do something soon and suddenly 6 months have gone by,1312862638699876358,Retweet,1532086748255338497
0,1532424297398030348,Thu Jun 02 18:09:58 +0000 2022,"Everything you need to know about this gun control package: Democrats don’t even want to let me show what they’re trying to ban. 
 
I’m an American in my own home, and I’ll do whatever I want with my guns, Mr. Chairman. https://t.co/pH2OIsnlVp",756139310,Retweet,1532399894773878784
0,1532424297335209984,Thu Jun 02 18:09:58 +0000 2022,Remember that all of these performative outrage clips you're seeing of Republicans today is to protect guns after dozens of Americans were slaughtered in the last two weeks. They're acting angry because instead of saving lives they want to save unfettered access to guns.,99822238,Retweet,1532419493070262272
0,1532424297137856512,Thu Jun 02 18:09:58 +0000 2022,"Some people may think you're angry at them Kani no, just that life is great without them. https://t.co/6R9yYjMR0P",796374593313370114,Original Tweet,
0,1532424296710098944,Thu Jun 02 18:09:58 +0000 2022,We don’t talk about how much it truly takes to care for yourself as an adult &amp; how a lot of those skills are developed from childhood. From hygienic practices to nutritional awareness to financial responsibly to simply establishing healthy day to day habits.,733339221902000128,Retweet,1532065559466024960
0,1532424295594479625,Thu Jun 02 18:09:57 +0000 2022,No African artist is as versatile as Davido💯,1461031254455894021,Retweet,1532367706485403648
0,1532424295347015681,Thu Jun 02 18:09:57 +0000 2022,"Attn🗣: We are taking 62 Black Boys from SE DC to Europe &amp; Africa for their 8th grade class trip next year! We are asking for your support to get passports for all of our boys. Everyone has counted this trip out but I know we can make it happen!! Plz RT!
https://t.co/NvJcrH6sbl https://t.co/55iqAac6LT",1213295444366725120,Original Tweet,
